iter	Passed	Remaining
0	1	746
1	3	844
2	4	764
3	5	712
4	6	679
5	7	656
6	9	688
7	11	680
8	12	665
9	13	659
10	14	658
11	17	718
12	19	721
13	20	716
14	22	720
15	24	732
16	25	723
17	26	716
18	27	706
19	29	714
20	44	1025
21	46	1001
22	47	981
23	48	961
24	50	954
25	51	937
26	52	921
27	53	904
28	54	888
29	55	876
30	57	869
31	58	858
32	59	846
33	60	835
34	62	824
35	64	828
36	65	818
37	66	810
38	67	800
39	68	791
40	70	789
41	71	782
42	72	774
43	73	766
44	75	761
45	77	765
46	78	757
47	79	749
48	80	742
49	81	734
50	83	732
51	84	726
52	85	720
53	86	714
54	87	708
55	88	702
56	90	701
57	91	697
58	92	691
59	93	685
60	94	680
61	95	674
62	97	673
63	98	668
64	99	663
65	100	659
66	101	654
67	102	650
68	104	649
69	105	645
70	106	641
71	107	636
72	108	632
73	109	631
74	110	628
75	111	623
76	112	619
77	113	615
78	114	611
79	116	611
80	117	608
81	118	605
82	119	601
83	120	597
84	121	593
85	123	594
86	124	591
87	125	588
88	126	584
89	127	582
90	129	580
91	130	578
92	131	575
93	132	572
94	133	569
95	134	566
96	136	566
97	137	563
98	138	560
99	139	557
100	140	554
101	141	551
102	143	551
103	144	548
104	145	546
105	146	543
106	147	541
107	148	539
108	150	540
109	151	538
110	153	536
111	154	533
112	155	531
113	156	530
114	157	527
115	158	525
116	159	523
117	160	520
118	162	520
119	163	518
120	164	516
121	165	513
122	166	511
123	167	508
124	169	508
125	170	506
126	171	504
127	172	502
128	173	499
129	174	497
130	176	497
131	177	495
132	178	493
133	179	490
134	180	488
135	181	486
136	183	485
137	184	483
138	185	481
139	186	479
140	187	477
141	189	477
142	190	475
143	191	473
144	192	472
145	193	470
146	195	468
147	196	468
148	197	465
149	198	463
150	199	461
151	200	459
152	202	459
153	203	457
154	204	455
155	205	453
156	207	452
157	209	453
158	210	452
159	211	450
160	212	447
161	213	445
162	215	445
163	216	443
164	217	441
165	218	439
166	219	437
167	220	435
168	222	435
169	223	433
170	224	432
171	225	430
172	226	428
173	227	426
174	229	425
175	230	424
176	231	422
177	232	420
178	233	418
179	234	417
180	236	416
181	237	414
182	238	413
183	239	411
184	240	409
185	242	409
186	243	407
187	244	405
188	245	403
189	246	401
190	247	400
191	249	399
192	250	398
193	251	396
194	252	394
195	253	393
196	254	392
197	256	390
198	257	389
199	258	387
200	259	385
201	260	384
202	262	383
203	263	381
204	264	380
205	265	378
206	266	376
207	267	375
208	268	374
209	269	372
210	270	370
211	271	369
212	272	367
213	274	367
214	276	366
215	277	364
216	278	362
217	279	361
218	281	360
219	282	359
220	283	358
221	285	357
222	286	355
223	288	355
224	289	353
225	290	352
226	291	350
227	292	349
228	294	348
229	295	347
230	297	345
231	298	344
232	299	342
233	300	341
234	301	340
235	302	338
236	303	337
237	304	335
238	305	334
239	306	332
240	308	331
241	309	329
242	310	328
243	311	326
244	312	325
245	313	323
246	315	322
247	316	321
248	317	319
249	318	318
250	319	316
251	321	315
252	322	314
253	323	312
254	324	311
255	325	310
256	326	308
257	328	307
258	329	307
259	331	305
260	332	304
261	333	302
262	334	301
263	336	300
264	337	298
265	338	297
266	339	295
267	341	295
268	343	294
269	344	293
270	345	291
271	346	290
272	347	289
273	349	287
274	350	286
275	351	284
276	352	283
277	353	282
278	354	281
279	355	279
280	357	278
281	358	276
282	359	275
283	360	274
284	362	273
285	363	271
286	364	270
287	365	269
288	367	268
289	368	266
290	369	265
291	370	264
292	371	262
293	373	261
294	374	260
295	375	259
296	376	257
297	377	256
298	378	254
299	380	253
300	381	252
301	382	251
302	383	249
303	384	248
304	386	247
305	387	245
306	388	244
307	389	243
308	390	241
309	391	240
310	392	238
311	394	237
312	395	236
313	396	234
314	397	233
315	398	232
316	400	230
317	402	230
318	403	228
319	404	227
320	405	225
321	406	224
322	407	223
323	408	222
324	409	220
325	410	219
326	411	217
327	413	216
328	414	215
329	415	214
330	416	212
331	417	211
332	418	209
333	420	208
334	421	207
335	422	206
336	423	204
337	424	203
338	425	201
339	426	200
340	427	199
341	429	198
342	430	196
343	431	195
344	432	194
345	433	193
346	434	191
347	436	190
348	437	189
349	438	187
350	439	186
351	440	185
352	442	184
353	443	182
354	444	181
355	445	180
356	446	179
357	447	177
358	448	176
359	450	175
360	450	173
361	452	172
362	453	171
363	454	169
364	455	168
365	456	167
366	457	165
367	458	164
368	460	163
369	461	162
370	462	160
371	463	159
372	464	158
373	466	157
374	467	155
375	468	154
376	469	153
377	470	151
378	471	150
379	472	149
380	474	148
381	475	146
382	476	145
383	477	144
384	479	143
385	480	142
386	481	140
387	482	139
388	483	138
389	484	136
390	486	135
391	487	134
392	488	133
393	489	131
394	490	130
395	492	129
396	493	128
397	494	126
398	495	125
399	496	124
400	497	122
401	499	121
402	500	120
403	501	119
404	502	117
405	503	116
406	505	115
407	506	114
408	507	112
409	508	111
410	509	110
411	510	109
412	512	107
413	513	106
414	514	105
415	515	104
416	516	102
417	517	101
418	519	100
419	520	99
420	521	97
421	522	96
422	523	95
423	525	94
424	526	92
425	527	91
426	528	90
427	529	89
428	530	87
429	532	86
430	534	85
431	535	84
432	536	82
433	537	81
434	538	80
435	540	79
436	541	78
437	542	76
438	543	75
439	544	74
440	545	73
441	547	71
442	548	70
443	549	69
444	550	67
445	551	66
446	553	65
447	554	64
448	555	63
449	556	61
450	557	60
451	558	59
452	560	58
453	561	56
454	562	55
455	563	54
456	564	53
457	565	51
458	567	50
459	568	49
460	569	48
461	570	46
462	572	45
463	573	44
464	574	43
465	575	41
466	576	40
467	577	39
468	578	38
469	580	37
470	581	35
471	582	34
472	583	33
473	584	32
474	585	30
475	587	29
476	588	28
477	589	27
478	589	25
479	591	24
480	592	23
481	593	22
482	594	20
483	595	19
484	596	18
485	598	17
486	599	16
487	600	14
488	601	13
489	602	12
490	603	11
491	605	9
492	606	8
493	607	7
494	608	6
495	609	4
496	610	3
497	612	2
498	614	1
499	615	0
